,0,1,2,3,4,5,6,7,8,9
34,4.0,1.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,7.0
35,6.0,1.0,8.0,3.0,10.0,10.0,4.0,11.0,11.0,9.0
36,6.0,9.0,2.0,13.0,2.0,6.0,12.0,7.0,5.0,5.0
37,5.0,8.0,1.0,12.0,1.0,5.0,11.0,6.0,4.0,4.0
38,4.0,7.0,2.0,11.0,2.0,4.0,10.0,5.0,3.0,3.0
39,3.0,6.0,3.0,10.0,3.0,3.0,9.0,4.0,4.0,2.0
40,2.0,5.0,4.0,9.0,4.0,4.0,8.0,5.0,5.0,3.0
41,3.0,4.0,5.0,8.0,5.0,5.0,7.0,6.0,6.0,4.0
42,4.0,3.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0
43,5.0,2.0,7.0,6.0,7.0,7.0,5.0,8.0,8.0,6.0
44,6.0,1.0,8.0,5.0,8.0,8.0,4.0,9.0,9.0,7.0
45,7.0,2.0,9.0,4.0,9.0,9.0,3.0,10.0,10.0,8.0
46,7.0,10.0,3.0,14.0,1.0,5.0,11.0,6.0,4.0,4.0
47,5.0,8.0,3.0,12.0,1.0,3.0,9.0,4.0,2.0,2.0
48,4.0,7.0,4.0,11.0,2.0,2.0,8.0,3.0,3.0,1.0
49,3.0,6.0,5.0,10.0,3.0,3.0,7.0,4.0,4.0,2.0
50,4.0,5.0,6.0,9.0,4.0,4.0,6.0,5.0,5.0,3.0
51,5.0,4.0,7.0,8.0,5.0,5.0,5.0,6.0,6.0,4.0
52,6.0,3.0,8.0,7.0,6.0,6.0,4.0,7.0,7.0,5.0
53,7.0,2.0,9.0,6.0,7.0,7.0,3.0,8.0,8.0,6.0
54,8.0,3.0,10.0,5.0,8.0,8.0,2.0,9.0,9.0,7.0
55,8.0,11.0,4.0,15.0,2.0,4.0,10.0,5.0,3.0,3.0
56,7.0,10.0,3.0,14.0,1.0,3.0,9.0,4.0,2.0,2.0
57,6.0,9.0,4.0,13.0,2.0,2.0,8.0,3.0,1.0,1.0
58,4.0,7.0,6.0,11.0,4.0,2.0,6.0,3.0,3.0,1.0
59,5.0,6.0,7.0,10.0,5.0,3.0,5.0,4.0,4.0,2.0
60,6.0,5.0,8.0,9.0,6.0,4.0,4.0,5.0,5.0,3.0
61,7.0,4.0,9.0,8.0,7.0,5.0,3.0,6.0,6.0,4.0
62,8.0,3.0,10.0,7.0,8.0,6.0,2.0,7.0,7.0,5.0
63,9.0,4.0,11.0,6.0,9.0,7.0,1.0,8.0,8.0,6.0
64,9.0,12.0,5.0,16.0,3.0,3.0,9.0,4.0,2.0,4.0
65,8.0,11.0,4.0,15.0,2.0,2.0,8.0,3.0,1.0,3.0
66,5.0,8.0,7.0,12.0,5.0,1.0,5.0,2.0,2.0,2.0
67,6.0,7.0,8.0,11.0,6.0,2.0,4.0,3.0,3.0,3.0
68,7.0,6.0,9.0,10.0,7.0,3.0,3.0,4.0,4.0,4.0
69,8.0,5.0,10.0,9.0,8.0,4.0,2.0,5.0,5.0,5.0
70,9.0,4.0,11.0,8.0,9.0,5.0,1.0,6.0,6.0,6.0
71,10.0,13.0,6.0,17.0,4.0,4.0,10.0,3.0,3.0,5.0
72,9.0,12.0,5.0,16.0,3.0,3.0,9.0,2.0,2.0,4.0
73,8.0,11.0,6.0,15.0,4.0,2.0,8.0,1.0,1.0,3.0
74,6.0,9.0,8.0,13.0,6.0,2.0,6.0,1.0,3.0,3.0
75,7.0,8.0,9.0,12.0,7.0,3.0,5.0,2.0,4.0,4.0
76,8.0,7.0,10.0,11.0,8.0,4.0,4.0,3.0,5.0,5.0
77,9.0,6.0,11.0,10.0,9.0,5.0,3.0,4.0,6.0,6.0
78,10.0,5.0,12.0,9.0,10.0,6.0,2.0,5.0,7.0,7.0
79,11.0,6.0,13.0,8.0,11.0,7.0,1.0,6.0,8.0,8.0
80,11.0,14.0,7.0,18.0,5.0,5.0,11.0,4.0,4.0,6.0
81,10.0,13.0,6.0,17.0,4.0,4.0,10.0,3.0,3.0,5.0
82,9.0,12.0,7.0,16.0,5.0,3.0,9.0,2.0,2.0,4.0
83,8.0,11.0,8.0,15.0,6.0,2.0,8.0,1.0,3.0,3.0
84,7.0,10.0,9.0,14.0,7.0,3.0,7.0,2.0,4.0,4.0
85,8.0,9.0,10.0,13.0,8.0,4.0,6.0,3.0,5.0,5.0
86,9.0,8.0,11.0,12.0,9.0,5.0,5.0,4.0,6.0,6.0
87,10.0,7.0,12.0,11.0,10.0,6.0,4.0,5.0,7.0,7.0
88,11.0,6.0,13.0,10.0,11.0,7.0,3.0,6.0,8.0,8.0
89,12.0,7.0,14.0,9.0,12.0,8.0,2.0,7.0,9.0,9.0
